Gene.name	Gene	Reliability	Main.location	Additional.location	Extracellular.location	Enhanced	Supported	Approved	Uncertain	Single.cell.variation.intensity	Single.cell.variation.spatial	Cell.cycle.dependency	GO.id	acc_tcga_pan_can_atlas_2018	blca_tcga_pan_can_atlas_2018	cesc_tcga_pan_can_atlas_2018	coadread_tcga_pan_can_atlas_2018	esca_tcga_pan_can_atlas_2018	gbm_tcga_pan_can_atlas_2018	hnsc_tcga_pan_can_atlas_2018	kich_tcga_pan_can_atlas_2018	kirc_tcga_pan_can_atlas_2018	kirp_tcga_pan_can_atlas_2018	laml_tcga_pan_can_atlas_2018	lgg_tcga_pan_can_atlas_2018	lihc_tcga_pan_can_atlas_2018	lusc_tcga_pan_can_atlas_2018	meso_tcga_pan_can_atlas_2018	ov_tcga_pan_can_atlas_2018	paad_tcga_pan_can_atlas_2018	pcpg_tcga_pan_can_atlas_2018	prad_tcga_pan_can_atlas_2018	sarc_tcga_pan_can_atlas_2018	skcm_tcga_pan_can_atlas_2018	stad_tcga_pan_can_atlas_2018	tgct_tcga_pan_can_atlas_2018	thca_tcga_pan_can_atlas_2018	thym_tcga_pan_can_atlas_2018	ucec_tcga_pan_can_atlas_2018	ucs_tcga_pan_can_atlas_2018	uvm_tcga_pan_can_atlas_2018	brca_tcga_pan_can_atlas_2018	luad_tcga_pan_can_atlas_2018
1	AAGAB	ENSG00000103591	Supported	Cytosol;Nuclear speckles				Cytosol	Nuclear speckles					Cytosol (GO:0005829);Nuclear speckles (GO:0016607)	-0.017521296489372	-0.0162851597185255	0.0165019520843943	-0.0528535540797016	0.01213080495438	0.0563148261122537	0.0381899595686521	-0.021917371563373	-0.00608845843055726	-0.0176185518018857	-0.00941542893394761	0.0237147146485363	-0.00429547539051216	0.0622003785046256	0.00456658127740194	0.00933479604298816	0.0314740097967827	-0.0204111082831382	-0.00444113259022694	0.0181370858178156	-0.0487060952614924	0.00405060731480201	-0.0429162948139189	-0.0275347834116946	0.0348721131414313	-0.0158819551279844	-0.0317062571750007	-0.0604449950043679	-0.040826737505264	0.040087946841332
2	ABHD17A	ENSG00000129968	Approved	Vesicles	Nuclear speckles				Nuclear speckles;Vesicles					Nuclear speckles (GO:0016607);Vesicles (GO:0043231)	0.0586064270458108	0.101924649814854	0.0748321276741323	0.104288763242387	0.119798321622099	0.060724197302839	0.102690808521536	0.1051507691156	0.102374399536194	0.0950262255130777	0.107041027179386	0.104164011581387	0.0379434746888284	0.0442576252798142	0.105099970549531	0.0871255573420708	0.100933061051318	0.109503890767847	0.0923760084640399	0.0609709481397038	0.0812821722687274	0.103623192995348	0.0233901910460423	0.0783791552148568	0.0778885301457542	0.0862169163873618	0.103261158882848	0.0622159154930884	0.104683409666772	0.0851092052066969
9	AKAP17A	ENSG00000197976	Supported	Nuclear speckles	Cytosol			Nuclear speckles		Cytosol				Cytosol (GO:0005829);Nuclear speckles (GO:0016607)	-0.0425264561309851	-0.00875625362373445	-0.0267136037874616	0.0403794796121038	-0.00177980221091878	-0.0722480703364008	0.00696294474607844	0.0539020003060798	0.0507536531701631	-0.000513711234543972	0.0525096145419447	0.0200400188365204	-0.0398553841820058	-0.0840845362527101	0.00488912689253782	-0.0401520477661024	0.0269910702068959	0.0258384306936702	0.0359723676685953	-0.0338426757884811	-0.00709351980103273	-0.0118595446565567	-0.0173047993867238	0.0131947436669127	-0.0417878614161046	0.0175959670759578	-0.0171266360980804	-0.0226708110925041	0.0598058161060628	-0.0552195636454281
10	AKAP8L	ENSG00000011243	Supported	Nuclear speckles				Nuclear speckles						Nuclear speckles (GO:0016607)	0.0607870413174197	0.0405467105558009	0.0697454023626837	0.0542981679480595	0.0274130670734428	-0.0714221347944672	0.0785087752118053	0.0682848658792274	0.0737955099934318	0.0557402304247399	0.0624050913531855	0.0468147665979703	0.0596349083974427	-0.0847204915723993	0.0878294365380292	-0.078209527301095	0.0737447383823465	0.0703553576203578	0.072724565197959	0.0392496597837297	0.0710342652977698	0.0274073956418852	-0.0147151515370551	0.0631077850025814	0.0783995306852278	0.0677518837670963	0.0602160748571419	0.0612426962757048	0.078036916792966	-0.0400992510082604
12	ALMS1	ENSG00000116127	Approved	Centrosome;Nuclear speckles	Cytosol				Centrosome;Cytosol;Nuclear speckles					Centrosome (GO:0005813);Cytosol (GO:0005829);Nuclear speckles (GO:0016607)	0.0277620648570507	-0.0742837612862037	-0.0768425998585769	-0.0656172733372858	-0.0915279088189118	-0.0990128387440663	-0.0755462355793427	-0.0576959340247002	-0.0810444408760722	-0.0933311391432096	-0.0818708209723771	-0.0947283535890482	-0.0865223288340868	-0.0997018599555888	-0.062900114451804	-0.123048563028256	-0.0918828249635434	-0.0740725220436674	-0.0887796065659031	-0.0839697249355995	-0.0795553273784571	-0.114040519332593	-0.0832844563354856	-0.0841321562726006	-0.0600549818860115	-0.0766176624270049	-0.0773023961004425	-0.0681752538572573	-0.0893520542221275	-0.106775889285813
13	ALYREF	ENSG00000183684	Approved	Nuclear speckles;Nucleoplasm					Nuclear speckles;Nucleoplasm					Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)	0.0855490381479726	0.0577857559189129	0.0906647971560525	0.0643634385730877	0.0815927080687415	0.0271815063440215	0.0856854377222404	0.0105913987895046	0.0506999836235034	0.0462532488158884	0.0747408848755373	0.0591438033714373	0.0533231010194372	0.0213909146692412	0.0727752061484628	0.0741257217145382	0.0769723902555121	0.0617271267278416	0.0652323341668103	0.0768277140094692	0.0397018900585711	0.0934968638711638	0.0455362833343992	0.0747377962239567	0.0792927604514292	0.0584818312987342	0.05993137368568	0.046404866046876	0.0787942180012562	0.0586371515736112
18	AP5Z1	ENSG00000242802	Supported	Nuclear speckles	Nucleoplasm			Nuclear speckles;Nucleoplasm						Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)	-0.0320640409212984	0.0713057917310929	0.0641159665631389	0.0900017342794271	0.0150911248596331	-0.0330835481014583	0.0658433537471605	0.0947383747757282	0.079750872069532	0.0675157149141258	0.0933338458825216	0.0590998352179435	0.0435004855875059	-0.0376073124043617	0.0784392180219722	-0.0311378573871595	0.0845632000052996	0.0480644774745782	0.0603232510610388	0.0804143665293287	0.0672628251020764	0.0216131041158301	0.00259135791101571	0.0634805269881449	0.0786854231787692	0.0672884564187809	0.0783071059852131	0.0614684178178786	0.0954014495496244	0.00576287014658146
19	API5	ENSG00000166181	Enhanced	Nuclear speckles			Nuclear speckles							Nuclear speckles (GO:0016607)	-0.0295465393924276	-0.0522215369931136	-0.0340875279438275	-0.095267760517555	-0.0239970235236432	0.0566537203839679	-0.0349842708752003	-0.0807363657710444	-0.0949596792831533	-0.0820411077071032	-0.086937355565683	-0.0617874337623271	-0.0568716022701602	0.026089248685011	-0.0570414547632256	-0.0066184154746775	-0.078020443840077	-0.0489165331490278	-0.0788691984209372	-0.0466235874930719	-0.0838835860303625	-0.0473592717545764	0.00523391201715499	-0.0738158826681145	-0.0418340754058433	-0.072959750245783	-0.00546948631943886	-0.084907151142565	-0.0698345623325185	-0.00617795828873834
21	ARMCX5	ENSG00000125962	Approved	Cytosol;Nuclear speckles	Plasma membrane				Cytosol;Nuclear speckles;Plasma membrane					Cytosol (GO:0005829);Nuclear speckles (GO:0016607);Plasma membrane (GO:0005886)	-0.11063338134962	-0.066428586383664	-0.044654663641216	-0.0382701739779372	-0.0306357590601598	-0.00226274539121621	-0.0459926244184288	-0.0583971374035218	-0.0635382235890958	-0.0616549129984247	-0.0631340127089772	-0.046085828075834	-0.0473750421095017	0.00352330161320683	-0.0420497413629156	-0.0152483085180912	-0.0479256484527284	-0.0711473444121479	-0.0664113792955481	-0.0500745132859169	-0.0619307251842548	-0.0122486846875621	-0.0605781701215009	-0.0662548041343761	-0.0597159208528819	-0.0736230815226244	-0.046388329043412	-0.0785889406346074	-0.0548454425038281	-0.0052527632179797
22	ATXN7L3	ENSG00000087152	Approved	Nuclear speckles	Plasma membrane				Nuclear speckles;Plasma membrane					Nuclear speckles (GO:0016607);Plasma membrane (GO:0005886)	0.0679908630821731	-0.0515342655187066	-0.0740258068308952	0.056132054553424	0.0180951484404026	-0.0551619236176944	-0.0448589364751669	0.0695891258871193	0.0539923245798781	0.0121636870864265	0.090134860252722	0.0138865843324505	-0.0565395215229925	-0.0679948043380781	-0.0348525653583001	-0.0596016887619891	0.0197173115631734	-0.0269451390400838	-0.00509345758780577	-0.0361674206311753	0.0424650485897586	0.003547124409889	-0.0638727246593496	-0.00226497028016316	-0.0741338079656005	-0.0137939816628386	-0.0304867911934186	0.065967789239741	0.0146844704510514	-0.034747678487116
